0.26,0.07,0.18,1.25,0.36,1.73,0.90,0.75,0.75,0.62
1.67,2.00,0.22,6.00,1.37,10.00,1.34,14.00,1.87,18.00
1.37,4.00,2.00,12.00,1.37,20.00,1.55,28.00,1.39,36.00
0.99,6.00,1.01,18.00,1.92,30.00,0.87,42.00,1.41,54.00
0.82,8.00,1.29,24.00,1.26,40.00,1.94,56.00,0.03,72.00
0.13,10.00,0.64,30.00,0.91,50.00,0.50,70.00,1.44,90.00
1.86,12.00,0.49,36.00,1.09,60.00,0.76,84.00,1.40,108.00
0.46,14.00,1.33,42.00,0.63,70.00,1.71,98.00,0.23,126.00
1.53,16.00,0.37,48.00,1.86,80.00,0.76,112.00,1.48,144.00
1.36,18.00,1.02,54.00,1.86,90.00,0.13,126.00,0.78,162.00
