,0 Present day longitude (degrees),1 Present day latitude (degrees),2 Reconstructed longitude (degrees),3 Reconstructed latitude (degrees),4 Age (Ma),5 Time before mineralisation (Myr),6 Seafloor age (Myr),7 Segment length (km),8 Slab length (km),9 Distance to trench edge (km),10 Subducting plate normal velocity (km/Myr),11 Subducting plate parallel velocity (km/Myr),12 Overriding plate normal velocity (km/Myr),13 Overriding plate parallel velocity (km/Myr),14 Convergence normal rate (km/Myr),15 Convergence parallel rate (km/Myr),16 Subduction polarity (degrees),17 Subduction obliquity (degrees),18 Distance along margin (km),19 Subduction obliquity signed (radians),20 Ore Deposits Binary Flag (1 or 0)
0,-66.28,-27.37,-65.26481163085454,-28.103780938154774,6.0,0.0,48.18970742731463,56.08069,2436.30907,2436.30907,85.16858,40.6302,-17.43987,12.20271,102.31471,28.82518,5.67505,15.73415,2269.19769,0.27461272381824164,1.0
1,-69.75,-30.5,-67.69675903354074,-31.97063946819363,12.0,0.0,52.32116241518726,56.09672,2490.68735,2490.68735,93.21685,39.60199,-22.80622,13.40127,115.3582,27.39401,5.78937,13.35854,1823.3410699999995,0.23315056730562964,1.0
2,-66.65,-27.27,-65.12868940881981,-28.37477224893749,9.0,0.0,53.50608519483202,55.77705,2823.54951,2823.54951,82.65247,45.32425,-18.08485,11.275,100.24282,34.62444,8.97218,19.0552,2269.19769,0.3325760405578409,1.0
3,-66.61,-27.33,-65.25792819985301,-28.311094485466935,8.0,0.0,51.317134923135015,55.90088,2656.71724,2656.71724,83.85484,43.13319,-17.78538,11.72618,101.21965,31.92962,7.42992,17.50782,2269.19769,0.3055690855447871,1.0
4,-66.55,-27.400000000000002,-65.3669172197012,-28.257580177715152,7.0,0.0,49.340097023541965,56.09011,2547.29585,2547.29585,85.16731,40.57322,-17.43622,12.23778,102.25748,28.80235,5.65657,15.73067,2269.19769,0.27455196056815334,1.0
5,-66.57,-27.28,-65.21778419971913,-28.260958155248442,8.0,0.0,51.46645143619063,55.90088,2656.71724,2656.71724,83.85484,43.13319,-17.78538,11.72618,101.21965,31.92962,7.42992,17.50782,2269.19769,0.3055690855447871,1.0
6,-67.90000000000002,-26.3,-65.39115989688737,-28.03621204471084,14.0,0.0,59.70522931135308,56.14614,2937.75395,2937.75395,93.34837,39.41149,-23.26852,13.45193,116.11452,27.28535,5.46709,13.22382,2325.21126,0.23079921051578606,1.0
7,-70.58,-38.25,-44.67353441225112,-42.07729001389178,85.0,0.0,12.269256227370755,55.39199,2151.81813,2151.81813,23.7279,54.3723,-64.95285,1.30871,78.24529,41.2728,15.23262,27.81074,1051.1445299999998,0.4853889061816376,1.0
8,-70.05,-31.949999999999996,-67.76237460998725,-33.56075375202396,13.0,0.0,52.536887401860476,56.09528,2322.50643,2322.50643,93.2742,39.04452,-22.55457,13.52329,115.01528,26.79653,5.64144,13.11495,1655.4165099999996,0.22889904471172964,1.0
9,-66.6,-24.13,-64.317484018832,-25.721047387013726,13.0,0.0,60.36297724797174,56.15019,3218.30664,3218.30664,92.93702,40.05359,-23.5567,13.30724,116.1828,27.99456,5.64018,13.54734,2549.28917,0.23644560418856966,1.0
10,-70.45,-31.76,-68.78446234434162,-33.00242253672953,10.0,0.0,45.120041449367264,56.07589,2322.36788,2322.36788,84.65928,39.93994,-16.7408,12.40009,100.67874,28.22672,5.74423,15.6616,1711.3882599999995,0.27334644528856644,1.0
11,-66.22,-27.38,-65.20437381509873,-28.113627714904233,6.0,0.0,48.30681660899264,56.08069,2436.30907,2436.30907,85.16858,40.6302,-17.43987,12.20271,102.31471,28.82518,5.67505,15.73415,2269.19769,0.27461272381824164,1.0
12,-66.76,-25.14,-64.01699829366223,-27.00395503961647,15.0,0.0,62.129534406315415,56.16073,3106.42087,3106.42087,93.24983,39.39617,-23.42293,13.43823,116.24982,27.35698,5.48309,13.24243,2437.24556,0.2311239322082463,1.0
13,-67.75,-29.000000000000004,-67.07759997982616,-29.490616729732526,4.0,0.0,43.57487541404618,55.58629,2102.41843,2102.41843,64.70146,49.33884,-18.97616,9.25569,83.52876,40.42652,14.89147,25.8262,2101.9885699999995,0.4507522957805884,1.0
14,-65.87000000000002,-24.2,-63.123394555455135,-26.05606628726658,15.0,0.0,63.266053563770754,56.16512,3218.74892,3218.74892,93.09672,39.54822,-23.5248,13.39993,116.27368,27.54669,5.5292,13.32835,2605.31534,0.2326236110423822,1.0
15,-69.08,-32.42,-66.5374315065424,-34.16390914350472,14.0,0.0,55.83302148500354,56.10011,2266.50887,2266.50887,93.33357,38.68944,-22.46223,13.59475,114.88423,26.44916,5.55528,12.96498,1655.4165099999996,0.22628156171215194,1.0
16,-69.1,-32.48,-66.55728799638143,-34.22403475464711,14.0,0.0,55.69837369109724,56.10011,2266.50887,2266.50887,93.33357,38.68944,-22.46223,13.59475,114.88423,26.44916,5.55528,12.96498,1599.4478999999997,0.22628156171215194,1.0
17,-70.47,-37.43,-59.678625939311964,-42.44427410953341,45.0,0.0,33.87371590944544,59.02215,2898.37931,2898.37931,30.07791,47.91525,-23.22106,13.76089,46.73662,16.26397,19.13779,19.18749,1160.8378699999998,0.33488483897959304,1.0
18,-69.97,-32.57000000000001,-68.46309296677018,-33.685778738242945,9.0,0.0,42.654361792004735,56.06216,2208.83713,2208.83713,84.55097,39.85835,-16.61112,12.39474,100.48606,28.08351,5.71419,15.61444,1599.4478999999997,0.27252335868149785,1.0
19,-67.78,-24.57,-61.59356595303644,-28.340027276898475,29.0,0.0,62.586817148907365,56.27662,3166.34885,3166.34885,58.93082,61.34638,-26.29743,13.51042,80.21046,42.83765,4.55219,28.10514,2493.26622,0.4905272814809223,1.0
